scaled,denoised
-0.9899312771279974,-0.9901285945190148
-0.9906574241849653,-0.9901285945190148
-0.9915287978649309,-0.9921984526829439
-0.9931989284278684,-0.9921984526829439
-0.9927995534718771,-0.9922347671332222
-0.9920007896179157,-0.9922347671332222
-0.9930173968918685,-0.9931607558342054
-0.9936346152678512,-0.9931607558342054
-0.9926543198778899,-0.9919624174605277
-0.9916014146619244,-0.9919624174605277
-0.9905121975619674,-0.9904735733040181
-0.9907663458949609,-0.9904735733040181
-0.9908389626919545,-0.9908185485627691
-0.9911294159379501,-0.9908185485627691
-0.9922912498349007,-0.9922347671332222
-0.9925090932548921,-0.9922347671332222
-0.9935256935578555,-0.9939778044495533
-0.9947601442517997,-0.9939778044495533
-0.9954136745117739,-0.9953395516465562
-0.9955952060477737,-0.9953395516465562
-0.9950869093817868,-0.994613287713771
-0.9944696840348147,-0.994613287713771
-0.9941066139918255,-0.9936691439895969
-0.993562005441847,-0.9936691439895969
-0.9950142925847932,-0.9943227793025834
-0.9939613803978383,-0.9943227793025834
-0.9933804669348577,-0.9907822340951838
-0.9885152948980533,-0.9907822340951838
-0.9880796080580705,-0.9855894279592872
-0.983432286412247,-0.9855894279592872
-0.9847393469321953,-0.9838282301497266
-0.9832507479052577,-0.9838282301497266
-0.982052609095305,-0.9798519110076611
-0.977986200912462,-0.9798519110076611
-0.9790754180124189,-0.9787988221612347
-0.9788575745924276,-0.9787988221612347
-0.9792206446354168,-0.980233202122208
-0.98158061734232,-0.980233202122208
-0.9818347656753136,-0.980723433480808
-0.9799467916923845,-0.980723433480808
-0.9810360087923415,-0.982085186816597
-0.983468591325249,-0.982085186816597
-0.9829239827752705,-0.982865923943953
-0.9831418261952619,-0.982865923943953
-0.9687278555628275,-0.968358683346732
-0.9683284736358468,-0.968358683346732
-0.9588614029204081,-0.9535472582091882
-0.9485773392136231,-0.9535472582091882
-0.9304237185573433,-0.9416135914442361
-0.9531520510334425,-0.9416135914442361
-0.9557661720733392,-0.9589216946874918
-0.962419514437264,-0.9589216946874918
-0.9591064331992144,-0.958953446238215
-0.959142745083206,-0.958953446238215
-0.9620110144560963,-0.961640658662082
-0.9616116325291155,-0.961640658662082
-0.9606313371391542,-0.961640658662082
-0.9629913098460575,-0.961640658662082
-0.9665494213629136,-0.9682678982081767
-0.9703253693287714,-0.9682678982081767
-0.9734114890926426,-0.9733699542561532
-0.973665637425636,-0.9733699542561532
-0.968047131473049,-0.9697976284416561
