AMZN,NOV,EQIX,CTAS,CRM,BSX,IT,V,MSI,CLX,WAT
-0.21925358851265342,0.07230407909173167,-0.33550590498905425,-0.21873762883031342,-0.26266585513900537,-0.0472708107419451,-0.31144493960188496,-0.27098610394362616,-0.1708678395350929,-0.3042587372071674,-0.24843254614328314
-0.21891933434465596,0.09858918671792569,-0.33231702012208725,-0.2169796416120459,-0.2609936173785081,-0.047550302883454215,-0.30902837095035757,-0.2698321967176134,-0.16670330959903046,-0.308741560713987,-0.24703865503807337
-0.22013161897301706,0.12705407016867276,-0.33268832486749916,-0.2175168064429911,-0.2602194318081785,-0.04950669456634275,-0.3068077443378323,-0.26466398536197394,-0.16194388691531214,-0.3059190457283321,-0.2512652848366505
-0.21916877559488523,0.15013365701965312,-0.3252184705901975,-0.21702847562523503,-0.25662720532780703,-0.0330170580248696,-0.3062852446912013,-0.2663217079177956,-0.16491851907507432,-0.30923963110291075,-0.2515350580391699
-0.2191538097288589,0.14949255286461038,-0.3293683785238844,-0.21790746923436882,-0.2567355908351278,-0.043358027376168055,-0.3065465007432039,-0.26541158670279325,-0.15986163598240452,-0.3119791449129953,-0.2533785825835228
-0.21895425596744122,0.1705207040577889,-0.32803603404786486,-0.21888412155574527,-0.2586246055168337,-0.04643236097125541,-0.30543618743694123,-0.26045466234311626,-0.1702729187171899,-0.31073390560518377,-0.25063577400846737
-0.2204060058707378,0.19372852258848158,-0.33094098293255586,-0.2212280983040116,-0.2595071825010513,-0.05118362076155981,-0.3108571259422533,-0.26419266904721295,-0.17562729028905832,-0.31878638134879494,-0.24973650713018097
-0.2201864963525612,0.2003959732548144,-0.3248908418944096,-0.22064210877401283,-0.2558375445515274,-0.056493838181044774,-0.30393399005267463,-0.26367259801014414,-0.18157658267882978,-0.31945051742436126,-0.24888217958242626
-0.22160332463307258,0.16603297497248967,-0.32921548735436845,-0.22708804948881292,-0.2628671450411299,-0.06739379181536152,-0.3106611839032513,-0.26367259801014414,-0.18365883361173743,-0.3246804465145664,-0.2504109572888958
-0.22129401611256658,0.19218990516249063,-0.3327538472738792,-0.22601372914105816,-0.2644000350692722,-0.07074761755195798,-0.3090936849633583,-0.2643714446286558,-0.18603857302384372,-0.3234352388745062,-0.2518048483941055
-0.2213488934921107,0.1971904524796007,-0.33423908291941473,-0.2253788962837346,-0.26556131342476674,-0.07857323759118737,-0.30524024539793926,-0.2665329949137581,-0.18544362413569357,-0.3237672752445383,-0.2635854194543018
-0.22030623089311466,0.23283571331553024,-0.32602660248740145,-0.22244892069133385,-0.26212392760240144,-0.0757783694837715,-0.29616180936621017,-0.26362384328783645,-0.17889938285777196,-0.32293713681783137,-0.262326432102768
-0.220580613984664,0.2221933517957093,-0.3256552977419895,-0.22244892069133385,-0.26114845212994725,-0.07857323759118737,-0.30021117851325696,-0.26216113962124565,-0.18336137320278584,-0.326257753860161,-0.2625062923393918
-0.21755738724986018,0.25027359445083847,-0.31392630374722136,-0.21893295556893444,-0.2585162200095129,-0.07382197780088297,-0.29590055331420756,-0.25897570296926575,-0.17741208081301454,-0.3236012728933977,-0.2587742696153219
-0.2175174757363424,0.270147769013644,-0.3076359027764232,-0.2213746003435791,-0.2603432984280163,-0.0632015163080753,-0.29870899358636455,-0.2557740106100259,-0.17562729028905832,-0.3162129015576019,-0.25976348376433633
-0.21780682850008945,0.25578712273031756,-0.3131181718500174,-0.22244892069133385,-0.262480052255965,-0.06683483418618093,-0.30197461949215193,-0.2568954188209907,-0.18038671297277664,-0.3205296910455299,-0.24748830562963273
-0.2171083922382132,0.24476017465839783,-0.30936139835461063,-0.22156993639633576,-0.2528337007584453,-0.07410144328855439,-0.30047243456525957,-0.2572204585693569,-0.16848812819323375,-0.3227711027989398,-0.24524010412908448
-0.21875969209675608,0.23565648480808732,-0.29789451064925027,-0.21990961720444654,-0.25173435866615324,-0.07521938520075326,-0.29550868169357786,-0.2536124603249236,-0.17741208081301454,-0.32534458259013277,-0.24708362867343736
-0.21717823548378368,0.23924664637891893,-0.2908178074741165,-0.21863996080393508,-0.25202855296308146,-0.07046812541044886,-0.29204711374878856,-0.24906184185044009,-0.17770954122196597,-0.3255106166090244,-0.2421375750807815
-0.216624475603781,0.21591065041203306,-0.2837192579422267,-0.21932361836031214,-0.25300402252896853,-0.06571689227398211,-0.2941371123353126,-0.24820047535774548,-0.1711652999440444,-0.32617472101683964,-0.23561780445112454
-0.21723810275406044,0.18282980619627445,-0.29005333496264896,-0.21888412155574527,-0.25379369511838246,-0.05621437269337326,-0.29714149464647155,-0.2396680517686832,-0.1551021852284391,-0.32966137207806084,-0.23921492342151848
-0.21829074513452165,0.17847030879068773,-0.289398094234961,-0.2188352875425561,-0.2541343268462947,-0.05481693863966537,-0.29217774177478983,-0.23549122776487344,-0.15629202686424512,-0.3416155364284954,-0.228693339712856
-0.21792655923447152,0.14385090139245754,-0.2876944450135294,-0.21624715004247963,-0.25326724278772844,-0.04838875265414393,-0.2911327424815278,-0.23232203442068167,-0.15301993429553146,-0.29811560517918295,-0.22428686683007137
-0.21894926988288002,0.16244281340165811,-0.29064306994784456,-0.21199868403637828,-0.2532517557686442,-0.052301562673758614,-0.29087148642952515,-0.23662887928362644,-0.15420977593133744,-0.3089075947328786,-0.22473650026921455
-0.21964271625402365,0.15641646689036803,-0.2932640661863719,-0.21536815643334584,-0.25004662798000477,-0.05593488055186419,-0.2885855582613734,-0.2328746168722699,-0.15807684545844844,-0.31139804168075025,-0.22442175343133106
-0.21974748112237938,0.18616355865120043,-0.2939411699347035,-0.21238934682775598,-0.24880793815535782,-0.04363751951767717,-0.28969587156763604,-0.2288603127426433,-0.14736807424446438,-0.31139804168075025,-0.2259954876207483
-0.22100965323955207,0.18398378282664762,-0.29557929674975497,-0.21829813202574652,-0.254010466133024,-0.052301562673758614,-0.2871486748901075,-0.2272838439241773,-0.1583743058673999,-0.31496769391754165,-0.2261753478573721
-0.22120421711023716,0.2642495456950276,-0.293242219829616,-0.2183469660389357,-0.2528337007584453,-0.045034926917547506,-0.28440554863095113,-0.22923410721331716,-0.15748189657029824,-0.3168770376331683,-0.22244334228571844
-0.2213937910901897,0.29335553330081726,-0.2938319548148116,-0.2176144651552338,-0.2541807879035473,-0.052301562673758614,-0.28590774601521773,-0.2364501037021836,-0.16224134732426368,-0.3192014505621484,-0.21992535043023453
-0.22033616262516734,0.2759176521655089,-0.2921064592366242,-0.21600297997653375,-0.25275627747615864,-0.05258105481526773,-0.2885202442483728,-0.23801031681338986,-0.15807684545844844,-0.3180392440976583,-0.21731742845643875
-0.220321196759141,0.27848206878568016,-0.2940066923410835,-0.21619831602929043,-0.25224532397772303,-0.06376047393725594,-0.28512399031658414,-0.23723021645752257,-0.16194388691531214,-0.3131413513774853,-0.21533901731082616
-0.22050079476379977,0.2493760811798902,-0.2940503683907076,-0.2150263276551573,-0.2500001787358864,-0.05593488055186419,-0.2882589881963702,-0.2374739900690613,-0.15807684545844844,-0.3050888756338742,-0.21718255900759537
-0.21954293747022913,0.27809737374654275,-0.2903372876088126,-0.21365900322826747,-0.2502788860137305,-0.052022070532249554,-0.28989180114926383,-0.23744149105401333,-0.15123514377157524,-0.29794960282804245,-0.21461961066916363
-0.21937331924703551,0.3137425260954336,-0.2922593504061402,-0.21551464915877772,-0.2510840456222285,-0.05286054695677685,-0.2951821240859488,-0.23724645976531072,-0.15301993429553146,-0.2901461622788932,-0.215563851182814
-0.21646483335588118,0.308485569662418,-0.2924122415756561,-0.2171749683506669,-0.254831100947472,-0.053419504585957435,-0.2955739957065785,-0.23570250236136434,-0.14915286476842052,-0.2904782303166764,-0.21691275150024342
